Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3_CLAP_embeddings_mixed,0.8847,0.8762,0.7065,0.7146,0.7061,0.8659,0.9324
pitch_0_5_CLAP_embeddings_male,,,0.6564,0.5691,0.594,0.8903,0.968
timbre_0_5_CLAP_embeddings_male,,,0.6761,0.7275,0.7004,0.8774,0.9667
pitch_0_5_CLAP_embeddings_female,,,0.8028,0.6668,0.6788,0.9277,0.9837
timbre_0_5_CLAP_embeddings_female,,,0.794,0.7733,0.7726,0.9363,0.981
