model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
rf,0.2849462365591398,0.2845582424529793,0.3013801884390119,0.2845582424529793,0.2875311139363213,0.521505376344086,0.7741935483870968,186,validation
rf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727,train
