Model,Input Data,Train Accuracy,Train Balanced Accuracy,Val F1,Val Accuracy,Val Balanced Accuracy,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,CPU,RAM (GB),GPU,Platform,Key Parameters,Input Features,Input Feature Type,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB),Backbone,Classifier Head,Total Params,Trainable Params,Non-Trainable Params,Encoder Frozen,Max Epochs,frame_duration,overlap,n_runs,Train Accuracy Std,Train Balanced Accuracy Std,Val Accuracy Std,Val Balanced Accuracy Std,Val F1 Std,Val Top-2 Std,Val Top-3 Std,,,,,,,,,,
rf,clap,1,1,0.684,0.715,0.677,0.868,0.925,4.677,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,1024,clap-2023,80,1.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,clap,1,1,0.673,0.688,0.704,0.864,0.917,1.443,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",1024,clap-2023,1778.3,1.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,clap,0.944,0.931,0.726,0.736,0.728,0.899,0.943,13.936,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",1024,clap-2023,93.7,1.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn,whisper,0.819,0.817,0.585,0.619,0.626,0.807,0.887,0.306,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",512,whisper-base,0,1.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,whisper,1,1,0.643,0.684,0.63,0.841,0.913,3.178,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,512,whisper-base,75.2,1.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,whisper,0.993,0.994,0.681,0.713,0.698,0.856,0.919,0.505,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",512,whisper-base,0,1.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,whisper,0.906,0.89,0.714,0.74,0.713,0.881,0.934,9.214,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",512,whisper-base,101.7,1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
clap_head_only,clap_audio,0.572,0.438,0.474,0.56,0.437,0.755,0.843,2774.814,200,16,5890,2141,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,,,,861,10.71,1.02,CLAP (laion/clap-htsat-fused),"Linear(512, 10)",153512660,5130,153507530,1,200,3,0.25,,,,,,,,,,,,,,,,,,
whisper_head_only,whisper_audio,0.752,0.722,0.683,0.714,0.678,0.867,0.929,5783.981,153,16,5890,2141,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,,,,337.2,12.07,1.17,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,5130,72593920,1,200,3,0.25,,,,,,,,,,,,,,,,,,
clap_full,clap_audio,0.932,0.911,0.741,0.757,0.748,0.882,0.94,4994.41,13.4,16,5890,2141,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,,,,472.9,12.32,3.29,CLAP (laion/clap-htsat-fused),"Linear(512, 10)",153512660,28210642,125302018,0,200,3,0.25,10,0.021,0.029,0.018,0.02,0.019,0.014,0.009,,,,,,,,,,
whisper_full,whisper_audio,0.906,0.89,0.745,0.757,0.749,0.897,0.948,12421.315,12.1,16,5890,2141,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,,,,192.9,12.46,5.38,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,71831050,768000,0,200,3,0.25,10,0.04,0.043,0.02,0.028,0.029,0.01,0.01,,,,,,,,,,
