model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
svm,0.3548387096774194,0.3552947684526631,0.4136973334032158,0.3552947684526631,0.3705987622082081,0.6182795698924731,0.8225806451612904,186,validation
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727,train
