Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_imagenet_female,0.8703,0.826,0.8124,0.6989,0.7332,0.9071,0.9854
vocalset_10_3sec_imagenet_male,0.8443,0.8411,0.643,0.6031,0.6008,0.7793,0.8592
vocalset_10_3sec_imagenet_mixed,0.8272,0.8088,0.7119,0.6662,0.6847,0.8559,0.9158
pitch_3sec_imagenet_mixed,0.8961,0.7875,0.7962,0.6488,0.6859,0.9419,0.9976
pitch_3sec_imagenet_female,0.9831,0.967,0.9172,0.699,0.7205,0.9586,0.9841
pitch_3sec_imagenet_male,0.9115,0.8252,0.7509,0.6203,0.64,0.9151,0.9943
timbre_3sec_imagenet_mixed,0.8403,0.8513,0.7834,0.78,0.7831,0.9028,0.9717
timbre_3sec_imagenet_female,0.9228,0.9278,0.8718,0.8054,0.8382,0.9744,1.0
timbre_3sec_imagenet_male,0.8698,0.8897,0.7258,0.7368,0.7172,0.8629,0.9465
