Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_imagenet_female,0.9504,0.9285,0.745,0.6503,0.6632,0.8944,0.9545
vocalset_10_3sec_imagenet_male,0.8574,0.836,0.5845,0.5603,0.5416,0.75,0.8468
vocalset_10_3sec_imagenet_mixed,0.8317,0.7807,0.6381,0.5889,0.5953,0.8045,0.8803
pitch_3sec_imagenet_mixed,0.8725,0.7278,0.7547,0.5908,0.6179,0.9336,0.981
pitch_3sec_imagenet_female,0.9693,0.9428,0.8599,0.7057,0.6937,0.9459,0.9682
pitch_3sec_imagenet_male,0.8751,0.806,0.6962,0.5726,0.5842,0.8981,0.9509
timbre_3sec_imagenet_mixed,0.7719,0.7299,0.6822,0.674,0.6424,0.8219,0.9514
timbre_3sec_imagenet_female,0.8976,0.8648,0.7026,0.6547,0.676,0.9026,0.9795
timbre_3sec_imagenet_male,0.8815,0.8988,0.7291,0.7143,0.6514,0.8696,0.9498
