Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_imagenet_female,0.9118,0.8769,0.7978,0.6994,0.7186,0.9344,0.9763
vocalset_10_3sec_imagenet_male,0.9154,0.9111,0.625,0.609,0.5663,0.7939,0.8896
vocalset_10_3sec_imagenet_mixed,0.8433,0.8123,0.6764,0.6426,0.634,0.849,0.9074
pitch_3sec_imagenet_mixed,0.8747,0.7896,0.7879,0.6611,0.694,0.9479,0.9976
pitch_3sec_imagenet_female,0.9683,0.9438,0.9108,0.7283,0.7419,0.9522,0.9841
pitch_3sec_imagenet_male,0.9502,0.916,0.7491,0.6281,0.6477,0.9302,0.9906
timbre_3sec_imagenet_mixed,0.809,0.8143,0.7206,0.7269,0.7199,0.9211,0.9696
timbre_3sec_imagenet_female,0.9449,0.9582,0.8564,0.7887,0.8105,0.9538,0.9949
timbre_3sec_imagenet_male,0.9674,0.9729,0.7559,0.7403,0.7353,0.9097,0.9599
