model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
mlp,0.3387096774193548,0.339078552236447,0.3682296798029557,0.339078552236447,0.3439535928207222,0.6075268817204301,0.7903225806451613,186,validation
mlp,0.998624484181568,0.9986301369863014,0.9986394557823128,0.9986301369863014,0.9986301209199768,1.0,1.0,727,train
mlp,0.3387096774193548,0.339078552236447,0.3682296798029557,0.339078552236447,0.3439535928207222,0.6075268817204301,0.7903225806451613,186,validation
mlp,0.998624484181568,0.9986301369863014,0.9986394557823128,0.9986301369863014,0.9986301209199768,1.0,1.0,727,train
mlp,0.3387096774193548,0.339078552236447,0.3682296798029557,0.339078552236447,0.3439535928207222,0.6075268817204301,0.7903225806451613,186,validation
mlp,0.9986244841815681,0.9986301369863014,0.9986394557823128,0.9986301369863014,0.9986301209199769,1.0,1.0,727,train
