Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,Backbone,Classifier Head,Total Params,Trainable Params,Non-Trainable Params,Encoder Frozen,CPU,RAM (GB),GPU,Platform,Max Epochs,frame_duration,overlap,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB),n_runs,Train Accuracy Std,Train Balanced Accuracy Std,Train F1 Std,Train Top-2 Std,Train Top-3 Std,Train belt Accuracy Std,Train breathy Accuracy Std,Train inhaled Accuracy Std,Train lip_trill Accuracy Std,Train spoken Accuracy Std,Train straight Accuracy Std,Train trill Accuracy Std,Train trillo Accuracy Std,Train vibrato Accuracy Std,Train vocal_fry Accuracy Std,Val Accuracy Std,Val Balanced Accuracy Std,Val F1 Std,Val Top-2 Std,Val Top-3 Std,Val belt Accuracy Std,Val breathy Accuracy Std,Val inhaled Accuracy Std,Val lip_trill Accuracy Std,Val spoken Accuracy Std,Val straight Accuracy Std,Val trill Accuracy Std,Val trillo Accuracy Std,Val vibrato Accuracy Std,Val vocal_fry Accuracy Std
clap_head_only,clap_audio,0.7203735144312394,0.7140966469167712,0.7309860028500258,0.897962648556876,0.9565365025466892,0.6506305464736105,0.6481859703808598,0.6370939836465197,0.8201774871555348,0.8921064922933208,678.082,38.0,32,5890.0,2141.0,0.7035714285714286,0.6798029556650246,0.6517412935323383,0.9979633401221996,0.8809523809523809,0.8640710382513661,0.5290858725761773,0.6012658227848101,0.5846023688663282,0.6479099678456591,0.8012048192771084,0.757396449704142,0.4050632911392405,0.9791666666666666,1.0,0.8167641325536062,0.2972972972972973,0.4044943820224719,0.5079726651480638,0.5125,CLAP (laion/clap-htsat-fused),"Linear(512, 10)",153512660,5130,153507530,True,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,533.2,10.67,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whisper_head_only,whisper_audio,0.7166383701188455,0.6808759325285025,0.7067611120453942,0.8847198641765704,0.9502546689303903,0.6870621205044372,0.6491851318061567,0.6472747224782198,0.8538066324147594,0.9154600653900048,7561.4221,200.0,32,5890.0,2141.0,0.5142857142857142,0.4975369458128079,0.6965174129353234,0.979633401221996,0.8571428571428571,0.8039617486338798,0.2659279778393352,0.6392405063291139,0.8840947546531303,0.6704180064308681,0.572289156626506,0.5325443786982249,0.4556962025316455,0.9427083333333334,1.0,0.8206627680311891,0.2162162162162162,0.5955056179775281,0.8656036446469249,0.490625,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,5130,72593920,True,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,244.7,12.15,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clap_full,clap_audio,0.8547028862478777,0.846510773789165,0.8594434247826432,0.967470288624788,0.9917657045840408,0.7391872956562355,0.7446218593343826,0.7316533667875513,0.8510976179355442,0.9181223727230268,6379.887,19.1,32,5890.0,2141.0,0.7992857142857143,0.7883415435139574,0.828358208955224,0.9979633401221996,0.8892857142857142,0.947950819672131,0.724376731301939,0.8677215189873418,0.7911167512690355,0.8307073954983922,0.7957831325301205,0.8798816568047337,0.470886075949367,0.984375,1.0,0.8771929824561404,0.477027027027027,0.7314606741573034,0.5917995444191344,0.6378125,CLAP (laion/clap-htsat-fused),"Linear(512, 10)",153512660,28210642,125302018,False,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,323.1,12.45,5.74,10.0,0.0227,0.0286,0.024,0.0104,0.0036,0.0473,0.0509,0.0496,0.0,0.0213,0.005,0.0546,0.0361,0.0274,0.0381,0.004,0.0082,0.0049,0.0068,0.008,0.033,0.0292,0.0177,0.0,0.0,0.0167,0.0353,0.0488,0.0158,0.021
whisper_full,whisper_audio,0.8555008488964345,0.82073833557819,0.8409407325204461,0.9637691001697792,0.987351443123939,0.6998131714152266,0.6789274862237423,0.6701764198812314,0.8545539467538534,0.9187295656235405,15954.3536,15.7,32,5890.0,2141.0,0.7967857142857142,0.754679802955665,0.7895522388059701,0.9914460285132384,0.7916666666666667,0.8926229508196721,0.6778393351800555,0.7537974683544304,0.9594754653130286,0.7995176848874597,0.6451807228915662,0.7254437869822485,0.3987341772151899,0.9703124999999998,0.9461538461538461,0.7744639376218323,0.4006756756756757,0.5662921348314607,0.7004555808656037,0.6615625,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,71831050,768000,False,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,156.0,12.48,10.27,10.0,0.0207,0.0266,0.0236,0.0091,0.004,0.0442,0.0817,0.0745,0.0038,0.0797,0.0338,0.0675,0.0347,0.0185,0.0671,0.0121,0.0142,0.0131,0.0063,0.0079,0.0437,0.0704,0.0621,0.0081,0.0648,0.0411,0.0438,0.0686,0.0254,0.0699
