Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,Backbone,Classifier Head,Total Params,Trainable Params,Non-Trainable Params,Encoder Frozen,CPU,RAM (GB),GPU,Platform,Max Epochs,frame_duration,overlap,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB)
whisper_head_only,whisper_audio,0.7359932088285229,0.7048054406227623,0.733163656475396,0.897962648556876,0.9575551782682512,0.6973376926669781,0.6643067435678328,0.6638492565992238,0.8589444184960299,0.9234002802428772,8017.4228,200,16,5890.0,2141.0,0.5232142857142857,0.541871921182266,0.736318407960199,0.979633401221996,0.8809523809523809,0.8346994535519126,0.3407202216066482,0.6518987341772152,0.8722504230118443,0.6864951768488746,0.5602409638554217,0.591715976331361,0.4683544303797468,0.9427083333333334,1.0,0.8460038986354775,0.2702702702702703,0.6292134831460674,0.8314350797266514,0.503125,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,5130,72593920,True,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,343.3,12.9,5.72
whisper_full,whisper_audio,0.8714770797962649,0.8496419652497054,0.8600132622105221,0.9696095076400679,0.9908319185059423,0.7048108360579168,0.7107769319084021,0.6933152140297449,0.8598785614198973,0.9196637085474078,1605.6041,15,16,5890.0,2141.0,0.875,0.7980295566502463,0.8557213930348259,0.9816700610997964,0.8333333333333334,0.9193989071038251,0.6786703601108033,0.8575949367088608,0.9204737732656514,0.7765273311897106,0.6987951807228916,0.7928994082840237,0.4810126582278481,0.96875,1.0,0.7719298245614035,0.46621621621621623,0.651685393258427,0.6514806378132119,0.625,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,71831050,768000,False,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,197.1,12.8,5.72
