Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,Backbone,Classifier Head,Total Params,Trainable Params,Non-Trainable Params,Encoder Frozen,CPU,RAM (GB),GPU,Platform,Max Epochs,frame_duration,overlap,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB)
clap_head_only,clap_audio,0.796943972835314,0.7739031822809377,0.7950933178376912,0.93616298811545,0.9748726655348048,0.6842596917328351,0.6559801691635752,0.6551934468504728,0.8575432041102289,0.9187295656235404,287.438,71,32,5890.0,2141.0,0.6589285714285714,0.6683087027914614,0.8159203980099502,1.0,0.9047619047619048,0.8463114754098361,0.4681440443213296,0.6677215189873418,0.9018612521150592,0.8070739549839229,0.5963855421686747,0.7041420118343196,0.5443037974683544,0.984375,0.8076923076923077,0.7953216374269005,0.1891891891891892,0.6404494382022472,0.7198177676537585,0.578125,"CLAP (laion/clap-htsat-fused, frozen)","Linear(512, 10)",5130,5130,0,True,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,85.7,2.6,0.61
whisper_head_only,whisper_audio,0.7359932088285229,0.7048054406227623,0.733163656475396,0.897962648556876,0.9575551782682512,0.6973376926669781,0.6643067435678328,0.6638492565992238,0.8589444184960299,0.9234002802428772,7900.8728,200,16,5890.0,2141.0,0.5232142857142857,0.541871921182266,0.736318407960199,0.979633401221996,0.8809523809523809,0.8346994535519126,0.3407202216066482,0.6518987341772152,0.8722504230118443,0.6864951768488746,0.5602409638554217,0.591715976331361,0.4683544303797468,0.9427083333333334,1.0,0.8460038986354775,0.2702702702702703,0.6292134831460674,0.8314350797266514,0.503125,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,5130,72593920,True,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,325.3,11.87,0.85
clap_full,clap_audio,0.7923599320882853,0.7896669380504322,0.7961045259605195,0.9370118845500848,0.9791171477079796,0.7038766931340495,0.7238238167558627,0.6941773051133796,0.8430639887902849,0.916394208313872,447.3239,11,32,5890.0,2141.0,0.7303571428571428,0.7536945812807881,0.7611940298507462,0.9979633401221996,0.9285714285714286,0.898224043715847,0.6094182825484764,0.8006329113924051,0.7301184433164128,0.6864951768488746,0.7710843373493976,0.9053254437869822,0.4810126582278481,0.984375,1.0,0.847953216374269,0.4256756756756756,0.7528089887640449,0.55125284738041,0.51875,CLAP (laion/clap-htsat-fused),"Linear(768, 10)",153515220,153515220,0,False,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,326.8,12.02,5.72
whisper_full,whisper_audio,0.8709677419354839,0.8482358465977583,0.8583233424251089,0.9702886247877759,0.9899830220713073,0.7015413358243812,0.7127423499300507,0.693140577067723,0.8570761326482952,0.9201307800093415,1588.9478,15,16,5890.0,2141.0,0.8714285714285714,0.80623973727422,0.8557213930348259,0.9816700610997964,0.8333333333333334,0.9234972677595629,0.6537396121883656,0.8670886075949367,0.9179357021996616,0.7717041800643086,0.6927710843373494,0.8047337278106509,0.4936708860759494,0.96875,1.0,0.7660818713450293,0.4594594594594595,0.6853932584269663,0.6378132118451025,0.61875,Whisper (openai/whisper-base),"Linear(512, 10)",72599050,71831050,768000,False,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,200,3.0,0.25,187.8,12.72,5.72
