model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
svm,0.3924731182795699,0.3928481112691639,0.4078457402812241,0.3928481112691639,0.3932015430608029,0.6666666666666666,0.8118279569892473,186,validation
svm,0.9711141678129298,0.9711188526741195,0.9713347754437288,0.9711188526741195,0.971153545342464,0.9986244841815681,1.0,727,train
