model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
svm,0.2849462365591398,0.2871898214003477,0.302130898021309,0.2871898214003477,0.2789833168033907,0.6021505376344086,0.8010752688172043,186,validation
svm,0.45254470426409904,0.45204127958851625,0.4624538720363945,0.45204127958851625,0.4444642356169604,0.6973865199449794,0.8583218707015131,727,train
