Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,CPU,RAM (GB),GPU,Platform,Key Parameters,Input Features,Input Feature Type,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB)
mlp,whisper,0.9929906542056076,0.99432809547417,0.9940217117391968,1.0,1.0,0.713125,0.6984126082839359,0.6813156601903035,0.85625,0.91875,0.5051,-,-,4280.0,1600.0,0.9863760217983653,0.9863013698630136,1.0,1.0,1.0,0.989080982711556,0.9962121212121212,0.9907407407407408,0.9967248908296944,0.9978448275862069,0.7766990291262136,0.7876106194690266,0.5294117647058824,0.9230769230769232,0.95,0.8096446700507615,0.3660714285714285,0.5178571428571429,0.7275280898876404,0.5962264150943396,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",512,whisper-base,0.0,1.42,0.0
svm,whisper,0.9058411214953273,0.8902811739950769,0.9113561582212208,0.9810747663551402,0.9960280373831776,0.74,0.7131699021623801,0.713933499845308,0.880625,0.934375,9.2142,-,-,4280.0,1600.0,0.8174386920980926,0.8105022831050228,0.8650793650793651,1.0,0.9552238805970148,0.9526842584167424,0.8295454545454546,0.8796296296296297,0.9694323144104804,0.8232758620689655,0.7184466019417476,0.8495575221238938,0.4705882352941176,0.9076923076923076,1.0,0.8730964467005076,0.4107142857142857,0.5357142857142857,0.7696629213483146,0.5962264150943396,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=None",512,whisper-base,107.4,1.43,0.0
knn,clap,0.8974042027194067,0.8694807450237615,0.8880301855071039,0.9856613102595796,0.999505562422744,0.693125,0.6790900333886173,0.6714646183303274,0.849375,0.9075,0.8624,-,-,4045.0,1600.0,0.8676470588235294,0.8861985472154964,0.7589285714285714,1.0,0.9193548387096774,0.924618320610687,0.7361702127659574,0.7860696517412935,0.9430523917995444,0.8727678571428571,0.6601941747572816,0.7345132743362832,0.4117647058823529,0.9846153846153848,1.0,0.8020304568527918,0.2857142857142857,0.625,0.7134831460674157,0.5735849056603773,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",1024,clap-2023,0.0,1.51,0.0
rf,clap,1.0,1.0,1.0,1.0,1.0,0.715,0.6768878489286392,0.6842528474887031,0.868125,0.925,4.6768,-,-,4045.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6213592233009708,0.7168141592920354,0.3529411764705882,0.9846153846153848,1.0,0.901015228426396,0.1607142857142857,0.6964285714285714,0.7387640449438202,0.5962264150943396,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,1024,clap-2023,80.0,1.55,0.0
mlp,clap,0.999752781211372,0.9997578692493946,0.9998311007066372,1.0,1.0,0.6875,0.7040207506166817,0.6733404824212925,0.86375,0.9175,1.4429,-,-,4045.0,1600.0,1.0,0.9975786924939468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7766990291262136,0.7522123893805309,0.5490196078431373,0.9769230769230768,0.95,0.7411167512690355,0.375,0.6607142857142857,0.6207865168539326,0.6377358490566037,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",1024,clap-2023,1317.2,1.53,0.0
svm,clap,0.9436341161928308,0.931205839368397,0.9434980130408622,0.9940667490729296,0.999258343634116,0.735625,0.7280594988424098,0.725720470569067,0.89875,0.9425,13.936,-,-,4045.0,1600.0,0.8970588235294118,0.8983050847457628,0.8928571428571429,1.0,0.9838709677419356,0.9627862595419848,0.8297872340425532,0.9303482587064676,0.9817767653758542,0.9352678571428572,0.7087378640776699,0.831858407079646,0.4901960784313725,0.9230769230769232,1.0,0.8299492385786802,0.3303571428571428,0.75,0.699438202247191,0.7169811320754716,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=None",1024,clap-2023,96.2,1.55,0.0
knn,mfcc,0.780607476635514,0.6997953992963244,0.7173499323144402,0.9327102803738316,0.9850467289719628,0.39125,0.3587538393207046,0.313725023156404,0.5875,0.6975,0.1421,-,-,4280.0,1600.0,0.8555858310626703,0.8470319634703196,0.6587301587301587,1.0,0.5373134328358209,0.8553230209281165,0.3863636363636363,0.2638888888888889,0.8307860262008734,0.7629310344827587,0.7572815533980582,0.6194690265486725,0.2549019607843137,0.4461538461538462,0.3,0.5228426395939086,0.0892857142857142,0.0535714285714285,0.4157303370786517,0.1283018867924528,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",13,mfcc,0.0,1.37,0.0
rf,mfcc,1.0,1.0,1.0,1.0,1.0,0.443125,0.3463854494383935,0.3422170252925809,0.646875,0.759375,0.6565,-,-,4280.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116504854368932,0.4424778761061947,0.2352941176470588,0.5538461538461539,0.1,0.5761421319796954,0.0982142857142857,0.0357142857142857,0.6067415730337079,0.2037735849056604,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,13,mfcc,0.0,1.38,0.0
mlp,mfcc,0.619392523364486,0.4943476310822002,0.5104511532759083,0.8016355140186916,0.8773364485981309,0.41,0.3264330291949077,0.3058524069885178,0.598125,0.718125,0.3138,-,-,4280.0,1600.0,0.5967302452316077,0.4269406392694064,0.1984126984126984,0.9256965944272446,0.3880597014925373,0.7634212920837125,0.1893939393939394,0.0324074074074074,0.75,0.6724137931034483,0.4563106796116505,0.336283185840708,0.0588235294117647,0.6615384615384615,0.35,0.5736040609137056,0.0892857142857142,0.0178571428571428,0.5168539325842697,0.2037735849056604,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",13,mfcc,0.0,1.41,0.0
svm,mfcc,0.7420560747663552,0.605804683525957,0.6369977442706196,0.9112149532710281,0.958411214953271,0.44375,0.38575498261516894,0.3672310454332161,0.633125,0.749375,2.2301,-,-,4280.0,1600.0,0.7247956403269755,0.6986301369863014,0.42063492063492064,0.9876160990712074,0.40298507462686567,0.8908098271155596,0.20833333333333334,0.06018518518518518,0.8537117903930131,0.8103448275862069,0.5922330097087378,0.5132743362831859,0.1568627450980392,0.6923076923076923,0.45,0.5177664974619289,0.08928571428571429,0.017857142857142856,0.5449438202247191,0.2830188679245283,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=None",13,mfcc,480.0,1.41,0.0
