Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,CPU,RAM (GB),GPU,Platform,Key Parameters,Input Features,Input Feature Type,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB)
mlp,whisper,0.9929906542056076,0.99432809547417,0.9940217117391968,1.0,1.0,0.713125,0.6984126082839359,0.6813156601903035,0.85625,0.91875,1.0201,-,-,4280.0,1600.0,0.9863760217983653,0.9863013698630136,1.0,1.0,1.0,0.989080982711556,0.9962121212121212,0.9907407407407408,0.9967248908296944,0.9978448275862069,0.7766990291262136,0.7876106194690266,0.5294117647058824,0.9230769230769232,0.95,0.8096446700507615,0.3660714285714285,0.5178571428571429,0.7275280898876404,0.5962264150943396,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",512,whisper-base,0.0,1.19,0.0
svm,whisper,0.8759345794392523,0.9225644611802356,0.8953889822556101,0.980140186915888,0.9953271028037384,0.69125,0.7167498298261158,0.6654881210442847,0.88375,0.934375,11.2283,-,-,4280.0,1600.0,0.9536784741144414,0.9178082191780822,0.992063492063492,1.0,1.0,0.7388535031847133,0.9318181818181818,0.949074074074074,0.9082969432314412,0.834051724137931,0.8155339805825242,0.8938053097345132,0.5098039215686274,0.9076923076923076,1.0,0.6218274111675127,0.4464285714285714,0.6071428571428571,0.7275280898876404,0.6377358490566037,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=balanced",512,whisper-base,100.7,1.21,0.0
knn,clap,0.8974042027194067,0.8694807450237615,0.8880301855071039,0.9856613102595796,0.999505562422744,0.693125,0.6790900333886173,0.6714646183303274,0.849375,0.9075,0.75,-,-,4045.0,1600.0,0.8676470588235294,0.8861985472154964,0.7589285714285714,1.0,0.9193548387096774,0.924618320610687,0.7361702127659574,0.7860696517412935,0.9430523917995444,0.8727678571428571,0.6601941747572816,0.7345132743362832,0.4117647058823529,0.9846153846153848,1.0,0.8020304568527918,0.2857142857142857,0.625,0.7134831460674157,0.5735849056603773,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",1024,clap-2023,0.0,1.28,0.0
rf,clap,1.0,1.0,1.0,1.0,1.0,0.715,0.6768878489286392,0.6842528474887031,0.868125,0.925,5.1651,-,-,4045.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6213592233009708,0.7168141592920354,0.3529411764705882,0.9846153846153848,1.0,0.901015228426396,0.1607142857142857,0.6964285714285714,0.7387640449438202,0.5962264150943396,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,1024,clap-2023,83.2,1.32,0.0
mlp,clap,0.999752781211372,0.9997578692493946,0.9998311007066372,1.0,1.0,0.6875,0.7040207506166817,0.6733404824212925,0.86375,0.9175,1.9348,-,-,4045.0,1600.0,1.0,0.9975786924939468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7766990291262136,0.7522123893805309,0.5490196078431373,0.9769230769230768,0.95,0.7411167512690355,0.375,0.6607142857142857,0.6207865168539326,0.6377358490566037,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",1024,clap-2023,1322.2,1.35,0.0
svm,clap,0.9278121137206428,0.9567380781515092,0.9387825034256496,0.99283065512979,0.9985166872682324,0.729375,0.7644617551432239,0.7339744547693743,0.89625,0.93875,15.5169,-,-,4045.0,1600.0,0.9647058823529412,0.9588377723970944,0.9910714285714286,1.0,1.0,0.8530534351145038,0.9617021276595744,0.9800995024875622,0.9271070615034168,0.9308035714285714,0.8640776699029126,0.9026548672566372,0.6274509803921569,0.9230769230769232,1.0,0.7385786802030457,0.5,0.7321428571428571,0.6207865168539326,0.7358490566037735,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=balanced",1024,clap-2023,97.5,1.39,0.0
knn,mfcc,0.780607476635514,0.6997953992963244,0.7173499323144402,0.9327102803738316,0.9850467289719628,0.39125,0.3587538393207046,0.313725023156404,0.5875,0.6975,0.1493,-,-,4280.0,1600.0,0.8555858310626703,0.8470319634703196,0.6587301587301587,1.0,0.5373134328358209,0.8553230209281165,0.3863636363636363,0.2638888888888889,0.8307860262008734,0.7629310344827587,0.7572815533980582,0.6194690265486725,0.2549019607843137,0.4461538461538462,0.3,0.5228426395939086,0.0892857142857142,0.0535714285714285,0.4157303370786517,0.1283018867924528,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",13,mfcc,0.0,1.18,0.0
rf,mfcc,1.0,1.0,1.0,1.0,1.0,0.443125,0.3463854494383935,0.3422170252925809,0.646875,0.759375,0.6921,-,-,4280.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116504854368932,0.4424778761061947,0.2352941176470588,0.5538461538461539,0.1,0.5761421319796954,0.0982142857142857,0.0357142857142857,0.6067415730337079,0.2037735849056604,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,13,mfcc,0.0,1.19,0.0
mlp,mfcc,0.619392523364486,0.4943476310822002,0.5104511532759083,0.8016355140186916,0.8773364485981309,0.41,0.3264330291949077,0.3058524069885178,0.598125,0.718125,0.3205,-,-,4280.0,1600.0,0.5967302452316077,0.4269406392694064,0.1984126984126984,0.9256965944272446,0.3880597014925373,0.7634212920837125,0.1893939393939394,0.0324074074074074,0.75,0.6724137931034483,0.4563106796116505,0.336283185840708,0.0588235294117647,0.6615384615384615,0.35,0.5736040609137056,0.0892857142857142,0.0178571428571428,0.5168539325842697,0.2037735849056604,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",13,mfcc,0.0,1.25,0.0
svm,mfcc,0.7074766355140187,0.7728463536223652,0.6869342967676525,0.9074766355140187,0.9626168224299065,0.3975,0.4455345194603769,0.3566003924156976,0.64625,0.759375,2.6617,-,-,4280.0,1600.0,0.9182561307901907,0.7990867579908676,0.8968253968253969,0.9969040247678018,1.0,0.5022747952684259,0.5378787878787878,0.5648148148148148,0.7106986899563319,0.8017241379310345,0.8058252427184466,0.5663716814159292,0.27450980392156865,0.6538461538461539,0.7,0.23604060913705585,0.29464285714285715,0.17857142857142858,0.46629213483146065,0.2792452830188679,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=balanced",13,mfcc,127.0,1.25,0.0
