model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
svm,0.2849462365591398,0.2870475738896791,0.3014275592145219,0.2870475738896791,0.278121785893986,0.5967741935483871,0.8010752688172043,186,validation
svm,0.45392022008253097,0.45346822022778566,0.4671557227712365,0.45346822022778566,0.4484611207480135,0.6973865199449794,0.859697386519945,727,train
