model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,n_samples,split
rf,0.3440860215053763,0.3458195037142405,0.3643445839874411,0.3458195037142405,0.3285620932272516,0.5645161290322581,0.8010752688172043,186,validation
rf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727,train
rf,0.3440860215053763,0.3458195037142405,0.3643445839874411,0.3458195037142405,0.3285620932272516,0.5645161290322581,0.8010752688172043,186,validation
rf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727,train
rf,0.3440860215053763,0.3458195037142405,0.3643445839874411,0.3458195037142405,0.3285620932272516,0.5645161290322581,0.8010752688172043,186,validation
rf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727,train
