Method,Selected Features,Feature Reduction,Feature Reduction (%),Validation Accuracy,Validation Balanced Accuracy,Validation Macro F1,Search Time (s)
ANOVA K=1250,1250,5123,80.38600345206339,0.3540274358072459,0.3542003714430108,0.35322096212737897,12.409037828445435
ANOVA K=500,500,5873,92.15440138082536,0.34664087231797397,0.34812317575820717,0.3467188476088176,6.843224048614502
ANOVA K=750,750,5623,88.23160207123803,0.3438269433696799,0.3442400146007122,0.3432289549514004,8.808094024658203
ANOVA K=1000,1000,5373,84.30880276165071,0.34048540274358075,0.3415686385368378,0.3406405549991101,10.096203088760376
ANOVA K=1500,1500,4873,76.46320414247607,0.3397819205065072,0.3400910959497637,0.3404518779738749,12.232671022415161
ANOVA K=250,250,6123,96.07720069041268,0.3341540626099191,0.33685875723659003,0.33494562938357786,4.507831811904907
All Features,6373,0,0.0,0.30531129088990505,0.30253510511170106,0.3040298036766819,21.739558935165405
